name,title,cusip,isin,lei,balance,units,value_usd,pct_value,asset_category,country,currency
Zalando SE,ZALANDO SE COMMON STOCK,N/A,DE000ZAL1111,529900YRFFGH5AXU4S86,9716.00000000,NS,197148.47,0.357091297344,EC,DE,
Deutsche Telekom AG,DEUTSCHE TELEKOM AG-REG COMMON STOCK,N/A,DE0005557508,549300V9QSIG4WX4GJ96,143446.00000000,NS,3544079.15,6.419323576617,EC,DE,
VOLKSWAGEN AKTIENGESELLSCHAFT,Volkswagen AG PREFERRED STOCK,N/A,DE0007664039,529900NNUPAGGOMPXZ31,8558.00000000,NS,1114045.97,2.01785040852,EP,DE,
Vonovia SE,VONOVIA SE COMMON STOCK,N/A,DE000A1ML7J1,5299005A2ZEP6AP7KM81,28869.00000000,NS,910975.94,1.650033501473,EC,DE,
Sartorius AG,Sartorius AG PREFERRED STOCK,N/A,DE0007165631,529900EQV2DY4FOAMU38,1026.00000000,NS,379929.83,0.688159719903,EP,DE,
Hannover Rueck SE,HANNOVER RUECK SE COMMON STOCK,N/A,DE0008402215,529900KIN5BE45V5KB18,2504.00000000,NS,604376.28,1.094695332453,EC,DE,
N/A,Dr Ing hc F Porsche AG PREFERRED STOCK,N/A,DE000PAG9113,N/A,4661.00000000,PA,400584.75,0.725571586094,EP,DE,
Bayer Aktiengesellschaft,BAYER AG-REG COMMON STOCK,N/A,DE000BAY0017,549300J4U55H3WP1XT59,40790.00000000,NS,1280502.93,2.319350753912,EC,DE,
Brenntag SE,BRENNTAG SE COMMON STOCK,N/A,DE000A1DAHH0,NNROIXVWJ7CPSR27SV97,5445.00000000,NS,486536.72,0.881254764749,EC,DE,
RWE Aktiengesellschaft,RWE AG COMMON STOCK,N/A,DE0007037129,529900GB7KCA94ACC940,28072.00000000,NS,1046830.07,1.896103519319,EC,DE,
SAP SE,SAP SE COMMON STOCK,N/A,DE0007164600,529900D6BF99LW9R2E68,33749.00000000,NS,5894893.76,10.6773096462,EC,DE,
N/A,DAX MINI FUTURE   MAR24 PHYSICAL INDEX FUTURE.,N/A,,N/A,4.00000000,NC,369172.28,0.66867477292,DE,DE,EUR
COMMERZBANK Aktiengesellschaft.,COMMERZBANK AG COMMON STOCK,N/A,DE000CBK1001,851WYGNLUQLFZBSYGB56,42686.00000000,NS,495205.82,0.896956941721,EC,DE,
Deutsche Bank Aktiengesellschaft,DEUTSCHE BANK AG-REGISTERED COMMON STOCK,N/A,DE0005140008,7LTWFZYICNSX8D621K86,82669.00000000,NS,1080641.7,1.957345885654,EC,DE,
MERCK Kommanditgesellschaft auf Aktien,MERCK KGAA COMMON STOCK,N/A,DE0006599905,529900OAREIS0MOPTW25,5362.00000000,NS,887648.06,1.607780153357,EC,DE,
Heidelberg Materials AG,HEIDELBERG MATERIALS AG COMMON STOCK,N/A,DE0006047004,LZ2C6E0W5W7LQMX5ZI37,5562.00000000,NS,518862.22,0.939805331904,EC,DE,
Beiersdorf Aktiengesellschaft,BEIERSDORF AG COMMON STOCK,N/A,DE0005200000,L47NHHI0Z9X22DV46U41,4081.00000000,NS,602220.13,1.090789938712,EC,DE,
Airbus SE,AIRBUS SE COMMON STOCK,N/A,NL0000235190,MINO79WLOO247M1IL051,24316.00000000,NS,3903872.26,7.071010036195,EC,DE,
Symrise AG,SYMRISE AG COMMON STOCK,N/A,DE000SYM9999,529900D82I6R9601CF26,5244.00000000,NS,546501.59,0.989868000365,EC,DE,
Fresenius SE & Co. KGaA,FRESENIUS SE & CO KGAA COMMON STOCK,N/A,DE0005785604,XDFJ0CYCOO1FXRFTQS51,17293.00000000,NS,490650.84,0.888706592542,EC,DE,
Deutsche Boerse Aktiengesellschaft,DEUTSCHE BOERSE AG COMMON STOCK,N/A,DE0005810055,529900G3SW56SHYNPR95,7680.00000000,NS,1541255.7,2.791647317641,EC,DE,
Infineon Technologies AG,INFINEON TECHNOLOGIES AG COMMON STOCK,N/A,DE0006231004,TSI2PJM6EPETEQ4X1U25,54146.00000000,NS,1984745.57,3.594932136627,EC,DE,
Covestro AG,COVESTRO AG COMMON STOCK,N/A,DE0006062144,3912005AWHKLQ1CPLV11,7864.00000000,NS,419253.88,0.759386628391,EC,DE,
BASF SE,BASF SE COMMON STOCK,N/A,DE000BASF111,529900PM64WH8AF1E917,37066.00000000,NS,1790087.29,3.242351273362,EC,DE,
Rheinmetall Aktiengesellschaft,RHEINMETALL AG COMMON STOCK,N/A,DE0007030009,5299001OU9CSE29O6S05,1810.00000000,NS,638592.22,1.156670017849,EC,DE,
E.ON SE,E.ON SE COMMON STOCK,N/A,DE000ENAG999,Q9MAIUP40P25UFBFG033,82980.00000000,NS,1132119.05,2.050585836719,EC,DE,
Continental Aktiengesellschaft,CONTINENTAL AG COMMON STOCK,N/A,DE0005439004,529900A7YD9C0LLXM621,4505.00000000,NS,372888.33,0.675405584046,EC,DE,
Siemens Healthineers AG,SIEMENS HEALTHINEERS AG COMMON STOCK,N/A,DE000SHL1006,529900QBVWXMWANH7H45,11599.00000000,NS,653404.45,1.183499130077,EC,DE,
Muenchener Rueckversicherungs-Gesellschaft Aktiengesellschaft in Muenchen,MUENCHENER RUECKVER AG-REG COMMON STOCK,N/A,DE0008430026,529900MUF4C20K50JS49,5592.00000000,NS,2394488.81,4.337092322551,EC,DE,
Mercedes-Benz Group AG,MERCEDES-BENZ GROUP AG COMMON STOCK,N/A,DE0007100000,529900R27DL06UVNT076,32085.00000000,NS,2190465.19,3.967548195961,EC,DE,
Siemens Energy AG,SIEMENS ENERGY AG COMMON STOCK,N/A,DE000ENER6Y0,5299005CHJZ14D4FDJ62,22414.00000000,NS,340008.16,0.615850353604,EC,DE,
Henkel AG & Co. KGaA,Henkel AG & Co KGaA PREFERRED STOCK,N/A,DE0006048432,549300VZCL1HTH4O4Y49,6792.00000000,NS,524561.37,0.950128094578,EP,DE,
Daimler Truck Holding AG,DAIMLER TRUCK HOLDING AG COMMON STOCK,N/A,DE000DTR0CK8,529900PW78JIYOUBSR24,23168.00000000,NS,837027.68,1.516092415855,EC,DE,
Qiagen N.V.,QIAGEN N.V. COMMON STOCK,N72482149,NL0015001WM6,54930036WK3GMCN17Z57,9227.61000000,NS,404998.46,0.733566055592,EC,DE,
Bayerische Motoren Werke Aktiengesellschaft,BAYERISCHE MOTOREN WERKE AG COMMON STOCK,N/A,DE0005190003,YEH5ZCD6E441RHVHD759,12211.00000000,NS,1283706.91,2.325154062326,EC,DE,
ADIDAS AG,ADIDAS AG COMMON STOCK,N/A,DE000A1EWWW0,549300JSX0Z4CW0V5023,6843.00000000,NS,1309134.43,2.371210448688,EC,DE,
Porsche Automobil Holding SE,Porsche Automobil Holding SE PREFERRED STOCK,N/A,DE000PAH0038,52990053Z17ZYM1KFV27,6388.00000000,NS,322661.31,0.584430332077,EP,DE,
MTU Aero Engines AG,MTU AERO ENGINES AG COMMON STOCK,N/A,DE000A0D9PT0,529900807L67JY81RD65,2242.00000000,NS,520438.19,0.942659856577,EC,DE,
Deutsche Post AG,DHL GROUP COMMON STOCK,N/A,DE0005552004,8ER8GIG7CSMVD8VUFE78,38561.00000000,NS,1864800.91,3.377678641082,EC,DE,
Allianz SE,ALLIANZ SE-REG COMMON STOCK,N/A,DE0008404005,529900K9B0N5BT694847,16264.00000000,NS,4377817.94,7.929458888179,EC,DE,
Siemens Aktiengesellschaft,SIEMENS AG-REG COMMON STOCK,N/A,DE0007236101,W38RGI023J3WT1HWRP32,30596.00000000,NS,5539584.27,10.03374428279,EC,DE,
